tag,line,line_type,quire,page,folio,bifolio,section,language,writing_hand,currier_hand,annotations,paragraph,order0,K_topic,topic_id
f30r,1.0,1,D,K,x,3,Herbal,A,1,1,Colour annotation,okeeesy chey shorchey fcheody shey tchy shey ychody chey chkeey ksho keeor cheor shey she keeodol sy chodaiin cho ry chey doiin sain chorain cheey keem qokechy qoko qop char soin chan qot chaiin choko qokochy deeey dkeeor cheoldain chory dchorol sho chor cho ro raiin dor chseeor dy qor chain cthorchy,113,6:5,5
f30r,8.0,1,D,K,x,3,Herbal,A,1,1,Colour annotation,opchol ol chesey scheo chey okealdcheo rchey dchey qochar chol keeaiin chctheychor chokchaiin dchor chkchean qotchychctho rchody qotchor cheor chey cheor chey soeebydeysor dcheey ckhey ckhey chkeaiin darchorychdain chodaiin chtchey chear shy,114,6:5,5
f30v,1.0,1,D,L,x,3,Herbal,A,1,1,Colour annotation,chschain shosaiin chocthey sho chepchy shor sheaiin qotchor chy she kchor chory keor ol chy ctholdy chotchol cthol doiin chokeor chtoithy otchey chor checkhy qotchod dain choty chkol ytor cheoldy qokeeor chokol chokeody dair chakchy sho kcho tcho ctho sos oyshy cheotol cphoaiin cphey qotchor chor sheey cheolsos sho sheoldy otcheor sol chokcheey kchydy,115,6:5,5
f31r,1.0,1,D,M,y,2,Herbal,B,2,2,Colour annotation,keedey qofchedy shee aiin qokee chepakeo dcheey okeedy qokees aiin shekeey qef qokeey chey qokeey sair chekey aiin da? qotar chy lo ar cheey keeol chedy qokey sheeody qokeor,116,6:4,4
f31r,6.0,1,D,M,y,2,Herbal,B,2,2,Colour annotation,tshokeody qokedy qotedy chepos cheda aiin ykeedar saiin checkhey sheol qokedy ykeedy chedy ldy shedy qokedy cheol cheod qokeody cheol checthy daiir sheeo shcthey okeol,117,6:4,4
f31r,10.0,1,D,M,y,2,Herbal,B,2,2,Colour annotation,tol shso okedy okedy qokedy qokeedy shedshey olsheol qokchy chey deey kchy okaiiin qoaiin yches okedy sheey chedaiin olsheor qoekedy otedy ykedy dals saiis or chedy okeedy yshedair sheol okedam oteor aiicthy,118,6:4,4
f31v,1.0,1,D,N,y,2,Herbal,B,2,2,Colour annotation,podair sheedy otedy oteedy qotolcheo ar ar dkchrar als ytchos ockhey okeeo cheody okeey keeody cheody keedy ykeeo shedal okedy keo dy okchey sair okees lkedy dair cthedy qokedy okeody chedar oked al ockhedy okeedy otas ykeos cheeoy or aiin,119,6:4,4
f31v,6.0,1,D,N,y,2,Herbal,B,2,2,Colour annotation,pcheeody qop chedal checfhy chefchol or cheef alaiin opal sheo otar olkeedam chol keeol checkhy okeol okal oky cheokar okor ary ykaiin chee ksheey ychekeeor cheor checthy okechoked lchey okam ytecheol sheoeky okeos aiin aikhedy chkaiin chetchey ctheey okear choar al kar oeeeos cheos aiin ckhey okeo kor okeol ain saiin ar ckheos chedy okeey qoear oraiin cheam,120,6:1,1
f32r,1.0,1,D,O,z,1,Herbal,A,1,1,Colour annotation,fchaiin shykeody daiiody dainsho tchy oty qopy okor okchor sheor ckhy daldshodar qotchol qokchor chor cthol chol doldcheodain schor dshor ytsho daindaiin choddal qotchy qokchy,121,6:5,5
f32r,6.0,1,D,O,z,1,Herbal,A,1,1,Colour annotation,fcho tcheychedy dol ol dair qo ar dam dytchor dary dchor ctho shos chckhol shodaiin tol otcho rol dain cthy schey qot shey cths qokchy qotol doiir ol otchol chey soty chokeol dchoty doiin sho shy dol dchol dan,122,6:5,5
